Ano,Categoria da Situação,Cor / Raça,Código da Matricula,Código do Ciclo Matricula,Data de Fim Previsto do Ciclo,Data de Inicio do Ciclo,Data de Ocorrencia da Matricula,Eixo Tecnológico,Faixa Etária,Mês De Ocorrência da Situação,Nome de Curso,Renda Familiar,Sexo,Situação de Matrícula,Subeixo Tecnológico,Tipo de Curso,Turno
2020,Em curso,Parda,71533370,2140784,2020-07-31,2017-02-13,2017-02-01,Controle e Processos Industriais,20 a 24 anos,2017-02-01,Eletrônica Industrial,"0,5<RFP<=1",M,Retido,Elétrica,Superior-Tecnologia,Matutino
2020,Em curso,Parda,89206878,2571569,2021-12-18,2019-02-11,2019-02-01,Informação e Comunicação,30 a 34 anos,2019-02-01,Análise e Desenvolvimento de Sistemas,"1<RFP<=1,5",M,Em fluxo,Informática,Superior-Tecnologia,Matutino
2020,Em curso,Preta,85569026,2496388,2020-12-15,2018-03-01,2018-03-01,Informação e Comunicação,20 a 24 anos,2018-03-01,Análise e Desenvolvimento de Sistemas,"0,5<RFP<=1",M,Em fluxo,Informática,Superior-Tecnologia,Matutino
2020,Em curso,Preta,73942721,2191306,2020-07-10,2017-07-31,2017-08-01,"Turismo, Hospitalidade e Lazer",40 a 44 anos,2017-08-01,Gestão Desportiva e de Lazer,"1<RFP<=1,5",M,Retido,Lazer,Superior-Tecnologia,Matutino
2020,Em curso,Preta,94167663,2674867,2022-12-23,2020-02-17,2020-02-01,Informação e Comunicação,20 a 24 anos,2020-02-01,Análise e Desenvolvimento de Sistemas,Não declarada,M,Ingressante,Informática,Superior-Tecnologia,Matutino
2020,Em curso,Preta,91267688,2626441,2022-07-29,2019-07-29,2019-07-01,"Turismo, Hospitalidade e Lazer",20 a 24 anos,2019-07-01,Gestão Desportiva e de Lazer,"RFP>3,5",M,Em fluxo,Lazer,Superior-Tecnologia,Matutino
2020,Em curso,Branca,73942305,2191284,2020-07-10,2017-07-31,2017-08-01,Informação e Comunicação,25 a 29 anos,2017-08-01,Análise e Desenvolvimento de Sistemas,"0<RFP<=0,5",M,Retido,Informática,Superior-Tecnologia,Noturno
2020,Em curso,Branca,91269060,2626429,2022-07-29,2019-07-29,2019-07-01,Gestão e Negócios,20 a 24 anos,2019-07-01,Processos Gerenciais,"1<RFP<=1,5",M,Em fluxo,Gestão e Negócios,Superior-Tecnologia,Noturno
2020,Em curso,Branca,85566406,2496392,2021-07-15,2018-03-01,2018-03-01,Controle e Processos Industriais,25 a 29 anos,2018-03-01,Eletrônica Industrial,"2,5<RFP<=3,5",M,Em fluxo,Elétrica,Superior-Tecnologia,Noturno
2020,Em curso,Branca,94167849,2674865,2023-07-28,2020-02-17,2020-02-01,Controle e Processos Industriais,20 a 24 anos,2020-02-01,Eletrônica Industrial,Não declarada,M,Ingressante,Elétrica,Superior-Tecnologia,Noturno
2020,Em curso,Branca,94167819,2674865,2023-07-28,2020-02-17,2020-02-01,Controle e Processos Industriais,15 a 19 anos,2020-02-01,Eletrônica Industrial,"RFP>3,5",M,Ingressante,Elétrica,Superior-Tecnologia,Noturno
2020,Evadidos,Branca,88224442,2555272,2020-07-27,2017-07-27,2017-07-01,Recursos Naturais,20 a 24 anos,2020-02-01,Técnico em Agroecologia,"0<RFP<=0,5",M,Abandono,Agrícola,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Branca,88224396,2555273,2021-07-28,2018-07-28,2018-07-01,Recursos Naturais,20 a 24 anos,2018-07-01,Técnico em Agroecologia,"0<RFP<=0,5",M,Em fluxo,Agrícola,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Branca,89669802,2571551,2021-12-18,2019-02-11,2019-02-01,Gestão e Negócios,30 a 34 anos,2019-02-01,Técnico em Comércio,"1,5<RFP<=2,5",M,Em fluxo,Gestão e Negócios,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Branca,91268214,2626436,2022-07-29,2019-07-29,2019-07-01,Recursos Naturais,20 a 24 anos,2019-07-01,Técnico em Agroecologia,"1<RFP<=1,5",M,Em fluxo,Agrícola,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Não declarada,87618814,2542873,2021-07-26,2018-07-26,2018-07-01,Gestão e Negócios,50 a 54 anos,2018-07-01,Processos Gerenciais,"1<RFP<=1,5",M,Em fluxo,Gestão e Negócios,Superior-Tecnologia,Noturno
2020,Em curso,Não declarada,85699625,2499989,2020-12-15,2018-03-01,2018-03-01,Gestão e Negócios,20 a 24 anos,2018-03-01,Técnico em Comércio,"1,5<RFP<=2,5",M,Em fluxo,Gestão e Negócios,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Não declarada,89669746,2571551,2021-12-18,2019-02-11,2019-02-01,Gestão e Negócios,Maior de 60 anos,2019-02-01,Técnico em Comércio,"1,5<RFP<=2,5",M,Em fluxo,Gestão e Negócios,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Parda,91268385,2626425,2022-07-29,2019-07-29,2019-07-01,Informação e Comunicação,20 a 24 anos,2019-07-01,Análise e Desenvolvimento de Sistemas,"0,5<RFP<=1",M,Em fluxo,Informática,Superior-Tecnologia,Noturno
2020,Em curso,Parda,91268381,2626425,2022-07-29,2019-07-29,2019-07-01,Informação e Comunicação,20 a 24 anos,2019-07-01,Análise e Desenvolvimento de Sistemas,"0<RFP<=0,5",M,Em fluxo,Informática,Superior-Tecnologia,Noturno
2020,Em curso,Parda,94169113,2674873,2022-12-23,2020-02-17,2020-02-01,Gestão e Negócios,35 a 39 anos,2020-02-01,Técnico em Comércio,"1,5<RFP<=2,5",M,Ingressante,Gestão e Negócios,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Preta,89226227,2571576,2022-07-18,2019-02-11,2019-02-01,Controle e Processos Industriais,45 a 49 anos,2019-02-01,Eletrônica Industrial,"0,5<RFP<=1",M,Em fluxo,Elétrica,Superior-Tecnologia,Noturno
2020,Em curso,Preta,68783277,2076292,2019-12-27,2016-08-01,2016-08-01,Informação e Comunicação,35 a 39 anos,2016-08-02,Análise e Desenvolvimento de Sistemas,"0,5<RFP<=1",M,Retido,Informática,Superior-Tecnologia,Noturno
2020,Evadidos,Preta,89226021,2571576,2022-07-18,2019-02-11,2019-02-01,Controle e Processos Industriais,40 a 44 anos,2020-02-01,Eletrônica Industrial,"1<RFP<=1,5",M,Abandono,Elétrica,Superior-Tecnologia,Noturno
2020,Em curso,Preta,91439261,2626429,2022-07-29,2019-07-29,2019-08-01,Gestão e Negócios,20 a 24 anos,2019-08-01,Processos Gerenciais,"1<RFP<=1,5",M,Em fluxo,Gestão e Negócios,Superior-Tecnologia,Noturno
2020,Em curso,Preta,91267930,2626445,2020-12-23,2019-07-29,2019-07-01,"Turismo, Hospitalidade e Lazer",20 a 24 anos,2019-07-01,Técnico em Guia de Turismo,"0,5<RFP<=1",M,Em fluxo,Turismo,Técnico-Subsequente,Noturno
2020,Em curso,Branca,89671146,2571566,2022-12-18,2019-02-11,2019-02-01,Controle e Processos Industriais,15 a 19 anos,2019-02-01,Técnico em Eletrônica,"0,5<RFP<=1",M,Em fluxo,Elétrica,Técnico-Integrado,Vespertino
2020,Em curso,Branca,89671112,2571566,2022-12-18,2019-02-11,2019-02-01,Controle e Processos Industriais,15 a 19 anos,2019-02-01,Técnico em Eletrônica,"0,5<RFP<=1",M,Em fluxo,Elétrica,Técnico-Integrado,Vespertino
2020,Em curso,Branca,72176090,2152179,2020-12-31,2017-03-13,2017-03-01,Informação e Comunicação,15 a 19 anos,2017-03-01,Técnico em Informática,"0,5<RFP<=1",M,Em fluxo,Informática,Técnico-Integrado,Vespertino
2020,Em curso,Branca,71532918,2140417,2020-12-31,2017-02-13,2017-02-01,Controle e Processos Industriais,15 a 19 anos,2017-02-01,Técnico em Eletrônica,"1<RFP<=1,5",M,Em fluxo,Elétrica,Técnico-Integrado,Vespertino
